times,incidence,incidenceXagegroup_0,incidenceXagegroup_5,incidenceXagegroup_10,incidenceXagegroup_15,incidenceXagegroup_20,incidenceXagegroup_25,incidenceXagegroup_30,incidenceXagegroup_35,incidenceXagegroup_40,incidenceXagegroup_45,incidenceXagegroup_50,incidenceXagegroup_55,incidenceXagegroup_60,incidenceXagegroup_65,incidenceXagegroup_70,incidenceXagegroup_75,infection_deathsXagegroup_0,infection_deathsXagegroup_5,infection_deathsXagegroup_10,infection_deathsXagegroup_15,infection_deathsXagegroup_20,infection_deathsXagegroup_25,infection_deathsXagegroup_30,infection_deathsXagegroup_35,infection_deathsXagegroup_40,infection_deathsXagegroup_45,infection_deathsXagegroup_50,infection_deathsXagegroup_55,infection_deathsXagegroup_60,infection_deathsXagegroup_65,infection_deathsXagegroup_70,infection_deathsXagegroup_75
59.0,123406.56008433412,4509.107388733247,20263.998431412732,5470.660547743937,12475.538881834553,14704.183554755253,14695.195317657961,11266.947098327528,9802.042826774566,10180.416078754728,8780.651143194336,9091.215669082738,6967.3369259438305,3980.2614782205637,2961.550989276436,1773.0143172531334,2542.992030395152,0.019966040755074875,0.018569658449540873,0.21607896219100964,0.5067743794539008,5.071616853056194,5.048834814306285,4.5990649203869935,3.992237405301386,9.742830548778317,8.372636287276151,0.04080440692162041,0.031099008201193056,53.574089685138766,39.713615047109386,47.07972426278453,67.43221819297676
60.0,135511.42717712678,4972.7425712665,22298.180053499498,6032.371803841247,13650.50734787801,16073.436815458765,16079.772805356553,12370.497684838516,10768.90037334177,11181.693188777228,9653.513124021192,9989.291697283046,7667.082206229885,4390.398718282921,3269.7184384481943,1958.9926733241573,2810.7015787922655,0.022137865350652687,0.020598723582313037,0.23951018008333014,0.5591817856174601,5.5942695245171,5.572606651801669,5.086603788755108,4.416955875901802,10.778643476850736,9.267990291214746,0.04514177481300987,0.03443615229912118,59.454308331730175,44.09359378951813,52.308289481430975,74.93236809523069
61.0,148513.54638063244,5475.9381820095,24494.229088615175,6641.980398976564,14901.154997997786,17526.75644681587,17553.11859803051,13555.130693320782,11808.466750201722,12257.599777281197,10593.73507204845,10955.288929732802,8422.552118215724,4835.759053412729,3605.086618655406,2161.760992137302,3102.8297111294332,0.024524712676459486,0.022831349784785744,0.2652634971590552,0.6161774751643087,6.161969195207565,6.142295432455023,5.619427347663802,4.881527530492453,11.911528896392989,10.248488972147177,0.0498852262432821,0.038093093462917255,65.93006507848817,48.92250003961775,58.082680401360555,83.21873534692891
62.0,162411.2920188326,6020.231950762665,26855.16434406404,7301.286943866885,16223.920570675022,19058.863257654622,19110.90991618026,14820.378849831659,12920.818842837198,13408.017899455092,11601.942695183905,11989.42767960296,9234.792777173918,5317.773004040697,3968.96795096271,2382.234621029806,3420.781172288022,0.027143547073541354,0.025284273237051944,0.2935224257496131,0.6779770322023656,6.7766455330921955,6.760069642847054,6.200358900167515,5.388541117228406,13.147766999448717,11.319969652932633,0.055060919452940935,0.04209237126201432,73.0518916135582,54.23977479660073,64.45340740796689,92.36491391590133
63.0,177189.98295348618,6606.631483761847,29381.719605498718,8011.486205866714,17614.042279387268,20663.12485095376,20747.41036338861,16164.55679092508,14104.965050850618,14631.725433847047,12677.77751860876,13090.922135772309,10104.052998557121,5837.409300260135,4362.334926385583,2621.128205459919,3765.6709382920244,0.030009207619019027,0.027972362118657033,0.3244470302538916,0.7447187973404609,7.439438739820572,7.427328754604379,6.831600515518375,5.940059293326772,14.492354760256033,12.487221726887455,0.06068961871797218,0.04645272226312903,80.86529895974924,60.08139295751456,71.46739300442458,102.43955392543512
64.0,192857.61563983266,7236.374259178407,32077.19466337294,8774.357524008814,19070.140788004872,22337.162656829823,22460.89170787093,17588.172022950177,15361.736263588067,15929.445300243711,13822.209693210109,14260.507749562279,11031.414449323966,6395.855460671779,4786.267660782093,2879.1918321268117,4138.615806994136,0.03313638931208893,0.03091046202614599,0.3581971394928558,0.8165276883970639,8.151335315694169,8.145331108242857,7.515263981043833,6.538076895764054,15.950110740759914,13.754897147803426,0.06679139374134334,0.05119246398844918,89.41576565353985,66.48351576190096,79.1722092870271,113.51234707300527
65.0,209437.17260345822,7910.868615750562,34946.619340631194,9592.181965612954,20592.991648893658,24081.284198971953,24252.16974412917,19093.152962759785,16693.17746934081,17303.18742155111,15037.072955169066,15499.900926596076,12018.501823441607,6994.477591310833,5241.963184801553,3157.2377211005505,4540.787783434969,0.036541008766215466,0.034114853920596974,0.3949472884218756,0.893512593316031,8.913104808534312,8.915169650190718,8.25349006868267,7.184648718664065,17.525980670494967,15.127850797066309,0.07338687316543159,0.05633091088474238,98.75339461633784,73.48633723980006,87.6214143876341,125.66192355445648
66.0,226711.10774766855,8627.369749735697,37964.242003433304,10460.128087863495,22150.654968906656,25855.348842849875,26083.31042723671,20658.237529716716,18081.881947484566,18734.345285910545,16309.05118091978,16793.994962012628,13056.64637276547,7630.922215804608,5728.374332344814,3455.0163984878163,4972.224776973937,0.04023516361549738,0.037598523226305004,0.43482262754251294,0.9755704740328511,9.723368210605605,9.735874666249345,9.046926757751766,7.88057897616091,19.22192264672287,16.608656247433643,0.0804836802134026,0.06187903132884758,108.92119598742214,81.12555836172956,96.8648119586366,138.96225665711123
67.0,244631.56435439902,9385.13255366086,41124.17081494551,11377.955341941848,23735.884751451475,27650.089826040945,27945.647382673276,22278.60911484293,19524.17189110678,20218.93212327722,17634.979147975457,18139.212628242185,14143.66954029576,8304.713977650474,6245.451526931391,3772.663501361941,5433.162400538909,0.044233790502648106,0.04137747355839118,0.47799019090732947,1.062693070456301,10.581619912234991,10.607357131887111,9.896974018808697,8.627347461952393,21.04144326917597,18.20112143571979,0.08809647455208804,0.0678527363970051,119.96969182295018,89.44299683032736,106.96060459715923,153.49945240672588
68.0,263079.375589548,10181.999579786067,44410.83848835827,12342.998422113067,25332.29253227234,29445.20862727182,29819.706894524214,23942.48879818603,21010.420960652817,21746.695621097348,19007.01235829918,19526.851346385283,15274.146960517479,9014.098445430347,6792.332861983614,4109.907106497894,5923.374893074986,0.04854720312406356,0.045463670992488485,0.5245613330663049,1.154669929240759,11.485319796998866,11.52754345472475,10.803483026227688,9.42512306591752,22.984893164488707,19.906559516152186,0.09622639328492628,0.07425881937367945,131.93965104310553,98.47401070452906,117.96097429781996,169.35168610830578
