times,prevXsusceptibleXamong,prevXexposedXamong,prevXinfectiousXamong,prevXrecoveredXamong,prevXinfectiousXamongXagegroup_0,prevXinfectiousXamongXagegroup_5,prevXinfectiousXamongXagegroup_10,prevXinfectiousXamongXagegroup_15,prevXinfectiousXamongXagegroup_20,prevXinfectiousXamongXagegroup_25,prevXinfectiousXamongXagegroup_30,prevXinfectiousXamongXagegroup_35,prevXinfectiousXamongXagegroup_40,prevXinfectiousXamongXagegroup_45,prevXinfectiousXamongXagegroup_50,prevXinfectiousXamongXagegroup_55,prevXinfectiousXamongXagegroup_60,prevXinfectiousXamongXagegroup_65,prevXinfectiousXamongXagegroup_70,prevXinfectiousXamongXagegroup_75
20.0,0.9989718152598155,0.00028327788369640204,0.00038795976527324576,0.0003569470912148368,0.0002214757458344897,0.00022142967332753125,0.00032255502994451023,0.0006551638268176166,0.0006530718169784641,0.0006142482204664322,0.0004750573931428419,0.00046084579851321235,0.0004750150593539963,0.0004052145044029058,0.00042597926661982945,0.00034098850676060404,0.00024170131644909415,0.00020033829342628874,0.00017174031232773413,0.00013901281802075423
21.0,0.9988532788446629,0.00031593715161523346,0.000431540797113793,0.00039924320660803913,0.00024452212752676183,0.00024140251702167275,0.00035346901910311045,0.0007308476753859469,0.0007346540294814529,0.0006899406124056644,0.0005294332811555304,0.0005122322084944134,0.0005285112598703856,0.0004508951637113943,0.0004739695759601075,0.00037861677351771144,0.0002673424387761355,0.0002208857128713723,0.00018861239931376717,0.00015219873136171333
22.0,0.9987209688894302,0.00035245658753755275,0.0004803022679576033,0.0004462722550746749,0.00027049344547218866,0.0002640407758139555,0.00038795145905636463,0.0008152236015770588,0.0008258048887024513,0.0007745303808047564,0.0005902419963608351,0.0005696701660866516,0.0005882689254859005,0.0005019673337664484,0.0005276786827485436,0.00042080427040173946,0.0002961097740181406,0.00024395894971542285,0.0002075696626969573,0.0001670633219394114
23.0,0.9985733131339235,0.00039326536302545796,0.0005348407691715178,0.0004985807338795761,0.0002997169697587586,0.00028964724719620245,0.00042643062672247334,0.0009092974539361837,0.0009276150314242785,0.0008690373726854283,0.0006582303658532927,0.0006338669641868695,0.0006550187163249844,0.0005590543606395659,0.0005877656015595417,0.0004680725841475264,0.0003283604018723954,0.00026984513001529633,0.00022884756506210853,0.000183791270335604
24.0,0.9984084428542216,0.00043886613261246565,0.0005958673967797683,0.000556823616386162,0.00033257978334559054,0.00031857126151968045,0.00046941212967151495,0.001014269850881229,0.0010413932497530907,0.000974684307787597,0.0007342884855229118,0.0007056641908906042,0.0007296316741039782,0.0006229000598215017,0.0006550143099250194,0.0005210413064879079,0.0003645206620927869,0.0002988876316571253,0.0002527284223977198,0.00020260452401179923
25.0,0.9982244802663505,0.0004897739077109528,0.0006640886804750177,0.0006216571454635006,0.0003694684917529756,0.00035116478544839957,0.0005173992802594948,0.0011313309290558369,0.0011684360853515625,0.001092683023406525,0.0008193004503542948,0.0007858981362632756,0.0008129728334416482,0.0006942431851102059,0.0007302042183065016,0.000580327198355052,0.0004050148113787908,0.0003314281612374549,0.0002794931580452442,0.00022372396337665043
26.0,0.9980190236074213,0.0005466700524295942,0.0007403844392478923,0.0006939219009011291,0.00041086699189993585,0.0003878661640398885,0.0005710152930104127,0.001261955914668975,0.0013103575594058507,0.0012245424320842125,0.000914366171031326,0.0008756085662087711,0.0009061182532484806,0.0007740039035385726,0.0008143053329073034,0.0006466991639069422,0.00045037433541218725,0.0003678955982307074,0.0003094953047725375,0.00024742836636456055
27.0,0.9977897499975936,0.0006102029590957473,0.0008256176534976264,0.0007744293898129943,0.0004572496399991579,0.0004291053994487956,0.0006308733737802741,0.0014075941541101464,0.001468740070845353,0.0013717418150394549,0.0010205645952228713,0.0009758156931361414,0.0010101235332278836,0.0008630848063389235,0.0009082695237643279,0.0007209114951937248,0.0005011194291837753,0.0004087095844979914,0.0003430805387864453,0.00027399027590825913
28.0,0.997533670909368,0.0006811746440364386,0.0009209385737846133,0.0008642158728109167,0.000509251347574186,0.00047545578913160555,0.000697797308764958,0.0015701809497808512,0.001645686995895932,0.0015362476175753723,0.0011393325360373142,0.0010878786342208154,0.0011263944680521434,0.0009626896272414119,0.001013367392585123,0.0008039718936183215,0.0005579416790310318,0.0004544286806464489,0.00038070905858476276,0.00030377377300183406
29.0,0.997244117433285,0.0007615062299334134,0.0010287721413829915,0.0009656041953986047,0.000568206317855394,0.000528120311849681,0.0007735071179777124,0.001753786097316556,0.0018456474291705135,0.0017222188209169936,0.001273699943069476,0.001214661370698985,0.0012578957216237497,0.0010753547465929816,0.0011322727261661616,0.0008979997639347343,0.0006223049532503506,0.0005062350229656188,0.0004233563509083622,0.0003375496754960941
