idx,contact_rate,start_time,npi_effectiveness.other_locations,compartment_periods_calculated.incubation.total_period,compartment_periods_calculated.total_infectious.total_period,tv_detection_b,tv_detection_c,prop_detected_among_symptomatic,icu_prop,compartment_periods.hospital_late,compartment_periods.icu_late,hospital_props_multiplier,microdistancing.parameters.c,microdistancing.parameters.sigma,infection_fatality_props(0),infection_fatality_props(1),infection_fatality_props(2),infection_fatality_props(3),infection_fatality_props(4),infection_fatality_props(5),infection_fatality_props(6),infection_fatality_props(7),infection_fatality_props(8),loglikelihood,best_x0,best_x1,best_x2,best_x3,best_x4,best_x5,best_x6,best_x7,best_x8,best_x9,best_x10,best_x11,best_x12,best_x13,best_x14,best_x15,best_deaths,all_vars_to_1_deaths,best_yoll,all_vars_to_1_yoll,best_p_immune,all_vars_to_1_p_immune
run_1248,0.04208321,2.88857951,0.868171368,4.887741755,1.545164858,0.05717107,89.36561614,0.26115221,0.117222531,10.22247888,4.568574354,0.628330385,130.7158922,0.632189802,1.76E-05,2.08E-05,9.45E-05,0.000253786,0.000502317,0.00171244,0.006073264,0.022513063,0.131445349,-44.41011035,,,,,,,,,,,,,,,,,,,,,,
run_1248,0.04208321,2.88857951,0.868171368,4.887741755,1.545164858,0.05717107,89.36561614,0.26115221,0.117222531,10.22247888,4.568574354,0.628330385,130.7158922,0.632189802,1.76E-05,2.08E-05,9.45E-05,0.000253786,0.000502317,0.00171244,0.006073264,0.022513063,0.131445349,-44.41011035,,,,,,,,,,,,,,,,,,,,,,
run_1855,0.044727119,8.35254511,0.859581006,4.662847185,1.43025398,0.059131655,89.25001832,0.211218279,0.118724946,10.29837674,4.307783586,0.775256044,127.0061226,0.647934869,1.76E-05,2.08E-05,9.69E-05,0.000250425,0.000508766,0.001649519,0.006199559,0.022464546,0.130179838,-38.05324695,,,,,,,,,,,,,,,,,,,,,,
run_1911,0.044034263,8.306595486,0.844914187,4.54869858,1.568114196,0.053126938,89.77544075,0.271994256,0.103489273,10.50137423,4.123828311,0.696963559,127.0686768,0.63966936,1.96E-05,2.13E-05,9.46E-05,0.000253116,0.000515636,0.001702424,0.006304753,0.022887833,0.140787957,-33.14819303,,,,,,,,,,,,,,,,,,,,,,
run_1911,0.044034263,8.306595486,0.844914187,4.54869858,1.568114196,0.053126938,89.77544075,0.271994256,0.103489273,10.50137423,4.123828311,0.696963559,127.0686768,0.63966936,1.96E-05,2.13E-05,9.46E-05,0.000253116,0.000515636,0.001702424,0.006304753,0.022887833,0.140787957,-33.14819303,,,,,,,,,,,,,,,,,,,,,,
run_1911,0.044034263,8.306595486,0.844914187,4.54869858,1.568114196,0.053126938,89.77544075,0.271994256,0.103489273,10.50137423,4.123828311,0.696963559,127.0686768,0.63966936,1.96E-05,2.13E-05,9.46E-05,0.000253116,0.000515636,0.001702424,0.006304753,0.022887833,0.140787957,-33.14819303,,,,,,,,,,,,,,,,,,,,,,
run_1911,0.044034263,8.306595486,0.844914187,4.54869858,1.568114196,0.053126938,89.77544075,0.271994256,0.103489273,10.50137423,4.123828311,0.696963559,127.0686768,0.63966936,1.96E-05,2.13E-05,9.46E-05,0.000253116,0.000515636,0.001702424,0.006304753,0.022887833,0.140787957,-33.14819303,,,,,,,,,,,,,,,,,,,,,,
run_1911,0.044034263,8.306595486,0.844914187,4.54869858,1.568114196,0.053126938,89.77544075,0.271994256,0.103489273,10.50137423,4.123828311,0.696963559,127.0686768,0.63966936,1.96E-05,2.13E-05,9.46E-05,0.000253116,0.000515636,0.001702424,0.006304753,0.022887833,0.140787957,-33.14819303,,,,,,,,,,,,,,,,,,,,,,
run_1911,0.044034263,8.306595486,0.844914187,4.54869858,1.568114196,0.053126938,89.77544075,0.271994256,0.103489273,10.50137423,4.123828311,0.696963559,127.0686768,0.63966936,1.96E-05,2.13E-05,9.46E-05,0.000253116,0.000515636,0.001702424,0.006304753,0.022887833,0.140787957,-33.14819303,,,,,,,,,,,,,,,,,,,,,,
run_493,0.035651602,4.225766519,0.909681522,3.977519932,3.336893867,0.089007104,96.94441759,0.20097308,0.095972452,11.27721625,11.20503702,0.902125573,130.7081924,0.722166159,1.53E-05,2.48E-05,8.77E-05,0.000281855,0.000596736,0.001785768,0.006959184,0.029880886,0.114357872,-86.14277095,,,,,,,,,,,,,,,,,,,,,,
