lga_id,lga_name,cluster_id,cluster_name,proportion
22410,Glenelg (S),9,Loddon Mallee,0.0011
22490,Golden Plains (S),1,North Metro,0.0107
22490,Golden Plains (S),2,South & East Metro,0.0032
22490,Golden Plains (S),3,South Metro,0.0146
22490,Golden Plains (S),4,West Metro,0.0604
22490,Golden Plains (S),5,Barwon South West,0.5004
22490,Golden Plains (S),6,Gippsland,0.0003
22490,Golden Plains (S),7,Grampians,0.4077
22490,Golden Plains (S),8,Hume,0.0005
22490,Golden Plains (S),9,Loddon Mallee,0.0021
22620,Greater Bendigo (C),1,North Metro,0.0299
22620,Greater Bendigo (C),2,South & East Metro,0.0065
22620,Greater Bendigo (C),3,South Metro,0.0106
22620,Greater Bendigo (C),4,West Metro,0.0479
22620,Greater Bendigo (C),5,Barwon South West,0.0013
22620,Greater Bendigo (C),6,Gippsland,0.0004
22620,Greater Bendigo (C),7,Grampians,0.0041
22620,Greater Bendigo (C),8,Hume,0.0026
22620,Greater Bendigo (C),9,Loddon Mallee,0.8968
22670,Greater Dandenong (C),1,North Metro,0.0244
22670,Greater Dandenong (C),2,South & East Metro,0.9138
22670,Greater Dandenong (C),3,South Metro,0.0395
22670,Greater Dandenong (C),4,West Metro,0.0202
22670,Greater Dandenong (C),5,Barwon South West,0.0003
22670,Greater Dandenong (C),6,Gippsland,0.0011
22670,Greater Dandenong (C),7,Grampians,0.0001
22670,Greater Dandenong (C),8,Hume,0.0003
22670,Greater Dandenong (C),9,Loddon Mallee,0.0003
22750,Greater Geelong (C),1,North Metro,0.0109
22750,Greater Geelong (C),2,South & East Metro,0.0027
22750,Greater Geelong (C),3,South Metro,0.0128
22750,Greater Geelong (C),4,West Metro,0.0433
22750,Greater Geelong (C),5,Barwon South West,0.9263
22750,Greater Geelong (C),6,Gippsland,0.0004
22750,Greater Geelong (C),7,Grampians,0.0019
22750,Greater Geelong (C),8,Hume,0.0008
22750,Greater Geelong (C),9,Loddon Mallee,0.001
22830,Greater Shepparton (C),1,North Metro,0.0575
22830,Greater Shepparton (C),2,South & East Metro,0.0056
22830,Greater Shepparton (C),3,South Metro,0.0105
22830,Greater Shepparton (C),4,West Metro,0.0578
22830,Greater Shepparton (C),5,Barwon South West,0.0006
22830,Greater Shepparton (C),6,Gippsland,0.0006
22830,Greater Shepparton (C),7,Grampians,0.0004
22830,Greater Shepparton (C),8,Hume,0.8513
22830,Greater Shepparton (C),9,Loddon Mallee,0.0158
22910,Hepburn (S),1,North Metro,0.0296
22910,Hepburn (S),2,South & East Metro,0.0115
22910,Hepburn (S),3,South Metro,0.0236
22910,Hepburn (S),4,West Metro,0.08
22910,Hepburn (S),5,Barwon South West,0.0139
22910,Hepburn (S),6,Gippsland,0.0002
22910,Hepburn (S),7,Grampians,0.7962
22910,Hepburn (S),8,Hume,0.001
22910,Hepburn (S),9,Loddon Mallee,0.0439
22980,Hindmarsh (S),1,North Metro,0.0222
22980,Hindmarsh (S),2,South & East Metro,0.0031
22980,Hindmarsh (S),3,South Metro,0.0096
22980,Hindmarsh (S),4,West Metro,0.0333
22980,Hindmarsh (S),5,Barwon South West,0.0413
22980,Hindmarsh (S),6,Gippsland,0.0004
22980,Hindmarsh (S),7,Grampians,0.883
22980,Hindmarsh (S),8,Hume,0.0015
22980,Hindmarsh (S),9,Loddon Mallee,0.0057
23110,Hobsons Bay (C),1,North Metro,0.0757
23110,Hobsons Bay (C),2,South & East Metro,0.0077
23110,Hobsons Bay (C),3,South Metro,0.0414
23110,Hobsons Bay (C),4,West Metro,0.8686
23110,Hobsons Bay (C),5,Barwon South West,0.0032
23110,Hobsons Bay (C),6,Gippsland,0.0004
23110,Hobsons Bay (C),7,Grampians,0.001
23110,Hobsons Bay (C),8,Hume,0.0016
23110,Hobsons Bay (C),9,Loddon Mallee,0.0004
23190,Horsham (RC),1,North Metro,0.0157
23190,Horsham (RC),2,South & East Metro,0.0021
23190,Horsham (RC),3,South Metro,0.0071
23190,Horsham (RC),4,West Metro,0.0555
23190,Horsham (RC),5,Barwon South West,0.0293
23190,Horsham (RC),6,Gippsland,0.0002
23190,Horsham (RC),7,Grampians,0.8862
23190,Horsham (RC),8,Hume,0.0002
23190,Horsham (RC),9,Loddon Mallee,0.0036
23270,Hume (C),1,North Metro,0.588
23270,Hume (C),2,South & East Metro,0.007
23270,Hume (C),3,South Metro,0.0138
23270,Hume (C),4,West Metro,0.3822
23270,Hume (C),5,Barwon South West,0.0006
23270,Hume (C),6,Gippsland,0.0003
23270,Hume (C),7,Grampians,0.0023
23270,Hume (C),8,Hume,0.0048
23270,Hume (C),9,Loddon Mallee,0.001
23350,Indigo (S),1,North Metro,0.0345
23350,Indigo (S),2,South & East Metro,0.0109
23350,Indigo (S),3,South Metro,0.022
23350,Indigo (S),4,West Metro,0.052
23350,Indigo (S),5,Barwon South West,0.0019
23350,Indigo (S),6,Gippsland,0.0003
23350,Indigo (S),8,Hume,0.8779
23350,Indigo (S),9,Loddon Mallee,0.0005
23430,Kingston (C),1,North Metro,0.0217
23430,Kingston (C),2,South & East Metro,0.4659
23430,Kingston (C),3,South Metro,0.4644
23430,Kingston (C),4,West Metro,0.0449
23430,Kingston (C),5,Barwon South West,0.0007
23430,Kingston (C),6,Gippsland,0.001
23430,Kingston (C),7,Grampians,0.0004
23430,Kingston (C),8,Hume,0.0005
23430,Kingston (C),9,Loddon Mallee,0.0005
23670,Knox (C),1,North Metro,0.0454
23670,Knox (C),2,South & East Metro,0.8794
23670,Knox (C),3,South Metro,0.0296
23670,Knox (C),4,West Metro,0.0422
23670,Knox (C),5,Barwon South West,0.0006
23670,Knox (C),6,Gippsland,0.0016
23670,Knox (C),7,Grampians,0.0002
23670,Knox (C),8,Hume,0.0006
23670,Knox (C),9,Loddon Mallee,0.0004
23810,Latrobe (C),1,North Metro,0.0177
23810,Latrobe (C),2,South & East Metro,0.0638
23810,Latrobe (C),3,South Metro,0.0278
23810,Latrobe (C),4,West Metro,0.0253
23810,Latrobe (C),5,Barwon South West,0.0005
