,date,state,state_abbrev,confirmed,deaths,tests,positives,recovered,hosp,icu,vent
320,2020-03-05,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
321,2020-03-05,New South Wales,NSW,3,0,0,3,0,0,0,0
322,2020-03-05,Northern Territory,NT,0,0,0,0,0,0,0,0
323,2020-03-05,Queensland,QLD,2,0,0,2,0,0,0,0
324,2020-03-05,South Australia,SA,2,0,0,2,0,0,0,0
325,2020-03-05,Tasmania,TAS,0,0,0,0,0,0,0,0
326,2020-03-05,Victoria,VIC,0,0,0,0,0,0,0,0
327,2020-03-05,Western Australia,WA,1,0,0,1,0,0,0,0
328,2020-03-06,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
329,2020-03-06,New South Wales,NSW,3,0,0,3,0,0,0,0
330,2020-03-06,Northern Territory,NT,0,0,0,0,0,0,0,0
331,2020-03-06,Queensland,QLD,1,0,0,1,0,0,0,0
332,2020-03-06,South Australia,SA,0,0,0,0,0,0,0,0
333,2020-03-06,Tasmania,TAS,0,0,0,0,0,0,0,0
334,2020-03-06,Victoria,VIC,0,0,0,0,0,0,0,0
335,2020-03-06,Western Australia,WA,0,0,0,0,0,0,0,0
336,2020-03-07,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
337,2020-03-07,New South Wales,NSW,8,0,7214,8,0,0,0,0
338,2020-03-07,Northern Territory,NT,0,0,0,0,0,0,0,0
339,2020-03-07,Queensland,QLD,0,0,0,0,0,0,0,0
340,2020-03-07,South Australia,SA,0,0,0,0,0,0,0,0
341,2020-03-07,Tasmania,TAS,1,0,0,1,0,0,0,0
342,2020-03-07,Victoria,VIC,1,0,0,1,0,0,0,0
343,2020-03-07,Western Australia,WA,0,0,0,0,0,0,0,0
344,2020-03-08,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
345,2020-03-08,New South Wales,NSW,4,1,794,4,0,0,0,0
346,2020-03-08,Northern Territory,NT,0,0,0,0,0,0,0,0
347,2020-03-08,Queensland,QLD,1,0,0,1,0,0,0,0
348,2020-03-08,South Australia,SA,0,0,0,0,0,0,0,0
349,2020-03-08,Tasmania,TAS,0,0,0,0,0,0,0,0
350,2020-03-08,Victoria,VIC,1,0,0,1,0,0,0,0
351,2020-03-08,Western Australia,WA,1,0,0,1,0,0,0,0
352,2020-03-09,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
353,2020-03-09,New South Wales,NSW,7,0,363,7,0,0,0,0
354,2020-03-09,Northern Territory,NT,0,0,0,0,0,0,0,0
355,2020-03-09,Queensland,QLD,0,0,0,0,0,0,0,0
356,2020-03-09,South Australia,SA,0,0,0,0,0,0,0,0
357,2020-03-09,Tasmania,TAS,0,0,0,0,0,0,0,0
358,2020-03-09,Victoria,VIC,3,0,0,3,0,0,0,0
359,2020-03-09,Western Australia,WA,2,0,0,2,0,0,0,0
360,2020-03-10,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
361,2020-03-10,New South Wales,NSW,14,0,1794,14,0,0,0,0
362,2020-03-10,Northern Territory,NT,0,0,0,0,0,0,0,0
363,2020-03-10,Queensland,QLD,3,0,0,3,0,0,0,0
364,2020-03-10,South Australia,SA,0,0,0,0,0,0,0,0
365,2020-03-10,Tasmania,TAS,0,0,0,0,0,0,0,0
366,2020-03-10,Victoria,VIC,3,0,0,3,0,0,0,0
367,2020-03-10,Western Australia,WA,0,0,0,0,0,0,0,0
368,2020-03-11,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
369,2020-03-11,New South Wales,NSW,4,0,56,4,0,0,0,0
370,2020-03-11,Northern Territory,NT,0,0,0,0,0,0,0,0
371,2020-03-11,Queensland,QLD,2,0,0,2,0,0,0,0
